"Name","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"Madonna","Hargrave",619,"France","Female",42,2,0,1,1,1,101348.88,1
"Michael","Hill",608,"Spain","Female",41,1,83807.86,1,0,1,112542.58,0
"Grace","Onio",502,"France","Female",42,8,159660.8,3,1,0,113931.57,1
"Roman","Boni",699,"France","Female",39,1,0,2,0,0,93826.63,0
"Julie","Mitchell",850,"Spain","Female",43,2,125510.82,1,1,1,79084.1,0
"Michael","Chu",645,"Spain","Male",44,8,113755.78,2,1,0,149756.71,1
"Lech","Bartlett",822,"France","Male",50,7,0,2,1,1,10062.8,0
"Mata","Obinna",376,"Germany","Female",29,4,115046.74,4,1,0,119346.88,1
"Madonna","He",501,"France","Male",44,4,142051.07,2,0,1,74940.5,0
"George","H?",684,"France","Male",27,2,134603.88,1,1,1,71725.73,0
"Jawaharlal","Bearce",528,"France","Male",31,6,102016.72,2,0,0,80181.12,0
"Sigmund","Andrews",497,"Spain","Male",24,3,0,2,1,0,76390.01,0
"Cleopatra","Kay",476,"France","Female",34,10,0,2,1,0,26260.98,0
"Billie","Chin",549,"France","Female",25,5,0,2,0,0,190857.79,0
"Desmond","Scott",635,"Spain","Female",35,7,0,2,1,1,65951.65,0
"Winston","Goforth",616,"Germany","Male",45,3,143129.41,2,0,1,64327.26,0
"Mikhail","Romeo",653,"Germany","Male",58,1,132602.88,1,1,0,5097.67,1
"Bob","Henderson",549,"Spain","Female",24,9,0,2,1,1,14406.41,0
"Alfred","Muldrow",587,"Spain","Male",45,6,0,1,0,0,158684.81,0
"Bill","Hao",726,"France","Female",24,6,0,2,1,1,54724.03,0
"Martin","McDonald",732,"France","Male",41,8,0,2,1,1,170886.17,0
"Queen","Dellucci",636,"Spain","Female",32,8,0,2,1,0,138555.46,0
"David","Gerasimov",510,"Spain","Female",38,4,0,1,1,0,118913.53,1
"Peter","Mosman",669,"France","Male",46,3,0,2,0,1,8487.75,0
"George","Yen",846,"France","Female",38,5,0,1,1,1,187616.16,0
"Vincent","Maclean",577,"France","Male",25,3,0,2,0,1,124508.29,0
"John","Young",756,"Germany","Male",36,2,136815.64,1,1,1,170041.95,0
"Grace","Nebechi",571,"France","Male",44,9,0,2,0,0,38433.35,0
"Grace","McWilliams",574,"Germany","Female",43,3,141349.43,1,1,1,100187.43,0
"Benazir","Lucciano",411,"France","Male",29,0,59697.17,2,1,1,53483.21,0
"Pope","Azikiwe",591,"Spain","Female",39,3,0,3,1,0,140469.38,1
"George","Odinakachukwu",533,"France","Male",36,7,85311.7,1,0,1,156731.91,0
"Julie","Sanderson",553,"Germany","Male",41,9,110112.54,2,0,0,81898.81,0
"Haile","Maggard",520,"Spain","Female",42,6,0,2,1,1,34410.55,0
"Brad","Clements",722,"Spain","Female",29,9,0,2,1,1,142033.07,0
"Cleopatra","Lombardo",475,"France","Female",45,0,134264.04,1,1,0,27822.99,1
"Madonna","Watson",490,"Spain","Male",31,3,145260.23,1,0,1,114066.77,0
"Malala","Lorenzo",804,"Spain","Male",33,7,76548.6,1,0,1,98453.45,0
"Queen","Armstrong",850,"France","Male",36,7,0,1,1,1,40812.9,0
"John","Cameron",582,"Germany","Male",41,6,70349.48,2,0,1,178074.04,0
"Benazir","Hsiao",472,"Spain","Male",40,4,0,1,1,0,70154.22,0
"Louis","Clarke",465,"France","Female",51,8,122522.32,1,0,0,181297.65,1
"Ludwig","Osborne",556,"France","Female",61,2,117419.35,1,1,1,94153.83,0
"John","Lavine",834,"France","Female",49,2,131394.56,1,0,0,194365.76,1
"Oprah","Bianchi",660,"Spain","Female",61,5,155931.11,1,1,1,158338.39,0
"Babe","Tyler",776,"Germany","Female",32,4,109421.13,2,1,1,126517.46,0
"Margaret","Martin",829,"Germany","Female",27,9,112045.67,1,1,1,119708.21,1
"Anne","Okagbue",637,"Germany","Female",39,9,137843.8,1,1,1,117622.8,1
"Mao","Yin",550,"Germany","Male",38,2,103391.38,1,0,1,90878.13,0
"Usain","Buccho",776,"Germany","Female",37,2,103769.22,2,1,0,194099.12,0
"Peter","Chidiebele",698,"Germany","Male",44,10,116363.37,2,1,0,198059.16,0
"Louis","Trevisani",585,"Germany","Male",36,5,146050.97,2,0,0,86424.57,0
"Muhammad","O'Brien",788,"France","Female",33,5,0,2,0,0,116978.19,0
"Sacha","Parkhill",655,"Germany","Male",41,8,125561.97,1,0,0,164040.94,1
"Leonardo","Yoo",601,"Germany","Male",42,1,98495.72,1,1,0,40014.76,1
"John","Phillipps",619,"France","Male",43,1,125211.92,1,1,1,113410.49,0
"Jawaharlal","Tsao",656,"France","Male",45,5,127864.4,1,1,0,87107.57,0
"Grace","Endrizzi",725,"Germany","Male",19,0,75888.2,1,0,0,45613.75,0
"David","T'ien",511,"Spain","Female",66,4,0,1,1,0,1643.11,1
"Oscar","Velazquez",614,"France","Male",51,4,40685.92,1,1,1,46775.28,0
"John","Hunter",742,"Germany","Male",35,5,136857,1,0,0,84509.57,0
"Henry","Clark",687,"Germany","Female",27,9,152328.88,2,0,0,126494.82,0
"Anne","Jeffrey",555,"Spain","Male",33,1,56084.69,2,0,0,178798.13,0
"Steve","Pirozzi",684,"Spain","Male",56,8,78707.16,1,1,1,99398.36,0
"Henry","Jackson",603,"Germany","Male",26,4,109166.37,1,1,1,92840.67,0
"Tim","Hammond",751,"Germany","Female",36,6,169831.46,2,1,1,27758.36,0
"Audrey","Brownless",581,"Germany","Female",34,1,101633.04,1,1,0,110431.51,0
"Tim","Chibugo",735,"Germany","Male",43,10,123180.01,2,1,1,196673.28,0
"Ernest","Glauert",661,"Germany","Female",35,5,150725.53,2,0,1,113656.85,0
"Lance","Pisano",675,"France","Female",21,8,98373.26,1,1,0,18203,0
"Mao","Konovalova",738,"Germany","Male",58,2,133745.44,4,1,0,28373.86,1
"Sacha","McKee",813,"France","Male",29,6,0,1,1,0,33953.87,0
"Queen","Palermo",657,"Spain","Female",37,0,163607.18,1,0,1,44203.55,0
"Angelina","Ballard",604,"Germany","Female",25,5,157780.84,2,1,1,58426.81,0
"Franklin","Wallace",519,"France","Male",36,9,0,2,0,1,145562.4,0
"Billie","Cavenagh",735,"France","Female",21,1,178718.19,2,1,0,22388,0
"Julie","Hu",664,"France","Male",55,8,0,2,1,1,139161.64,0
"Stephen","Read",678,"France","Female",32,9,0,1,1,1,148210.64,0
"George","Bushell",757,"Spain","Male",33,5,77253.22,1,0,1,194239.63,0
"Pablo","Postle",416,"Germany","Female",41,10,122189.66,2,1,0,98301.61,0
"Jawaharlal","Buley",665,"France","Female",34,1,96645.54,2,0,0,171413.66,0
"Jesse","Leonard",777,"France","Female",32,2,0,1,1,0,136458.19,1
"Henry","Mills",543,"France","Female",36,3,0,2,0,0,26019.59,0
"Barack","Onyeorulu",506,"France","Female",34,4,90307.62,1,1,1,159235.29,0
"Sigmund","Beit",493,"France","Female",46,4,0,2,1,0,1907.66,0
"Pope","Ndukaku",652,"Spain","Female",75,10,0,2,1,1,114675.75,0
"Al","Gant",750,"Spain","Male",22,3,121681.82,1,1,0,128643.35,1
"Angelina","Rowley",729,"France","Male",30,9,0,2,1,0,151869.35,0
"Leo","Sharpe",646,"France","Female",46,4,0,3,1,0,93251.42,1
"Franklin","Osborne",635,"Germany","Female",28,3,81623.67,2,1,1,156791.36,0
"Barack","Heap",647,"Spain","Female",44,5,0,3,1,1,174205.22,1
"Pele","Ritchie",808,"France","Male",45,7,118626.55,2,1,0,147132.46,0
"Oscar","Cole",524,"France","Female",36,10,0,2,1,0,109614.57,0
"Jesse","Capon",769,"France","Male",29,8,0,2,1,1,172290.61,0
"Pope","Capon",730,"Spain","Male",42,4,0,2,0,1,85982.47,0
"Leon","Fiorentini",515,"Spain","Male",35,10,176273.95,1,0,1,121277.78,0
"Emile","Graham",773,"Spain","Male",41,9,102827.44,1,0,1,64595.25,0
"Leonardo","Yuille",814,"Germany","Male",29,8,97086.4,2,1,1,197276.13,0
"Eva","Allard",710,"Spain","Male",22,8,0,2,0,0,99645.04,0
"Lionel","Fanucci",413,"France","Male",34,9,0,2,0,0,6534.18,0
"Rosa","Fu",665,"France","Female",40,6,0,1,1,1,161848.03,0
"Malcolm","Hung",623,"France","Female",44,6,0,2,0,0,167162.43,0
"Mahatma","Hung",738,"France","Male",31,9,82674.15,1,1,0,41970.72,0
"Mikhail","Bradley",528,"Spain","Male",36,7,0,2,1,0,60536.56,0
"Abraham","Dunbabin",670,"Spain","Female",65,1,0,1,1,1,177655.68,1
"Florence","Mauldon",622,"Spain","Female",46,4,107073.27,2,1,1,30984.59,1
"Joseph","Stiger",582,"Germany","Male",32,1,88938.62,1,1,1,10054.53,0
"Paul","Parsons",785,"Germany","Female",36,2,99806.85,1,0,1,36976.52,0
"Lord","Walkom",605,"Spain","Male",33,5,150092.8,1,0,0,71862.79,0
"Plato","T'ang",479,"Germany","Male",35,9,92833.89,1,1,0,99449.86,1
"Indira","Eremenko",685,"Germany","Male",30,3,90536.81,1,0,1,63082.88,0
"Alfred","Rowntree",538,"Germany","Male",39,7,108055.1,2,1,0,27231.26,0
"C.S.","Thorpe",562,"France","Male",42,2,100238.35,1,0,0,86797.41,0
"Abraham","Chiemela",675,"Spain","Male",36,9,106190.55,1,0,1,22994.32,0
"Abraham","Fanucci",721,"Germany","Male",28,9,154475.54,2,0,1,101300.94,1
"Queen","Ko",628,"Germany","Female",30,9,132351.29,2,1,1,74169.13,0
"Babe","Welch",668,"Germany","Female",37,6,167864.4,1,1,0,115638.29,0
"Paul","Duncan",506,"France","Female",41,1,0,2,1,0,31766.3,0
"Al","Chidozie",524,"Germany","Female",31,8,107818.63,1,1,0,199725.39,1
"Abraham","Wu",699,"Germany","Male",34,4,185173.81,2,1,0,120834.48,0
"Joseph","Culbreth",828,"France","Male",34,8,129433.34,2,0,0,38131.77,0
"Richard","Kennedy",674,"Spain","Male",39,6,120193.42,1,0,0,100130.95,0
"Sting","Cameron",656,"France","Female",39,6,0,2,1,0,141069.88,0
"Angelina","Calabresi",684,"Germany","Female",48,10,126384.42,1,1,1,198129.36,0
"Coco","Zetticci",625,"France","Female",28,3,0,1,0,0,183646.41,0
"George","Fuller",432,"France","Male",42,9,152603.45,1,1,0,110265.24,1
"Cristiano","MacDonald",549,"France","Female",52,1,0,1,0,1,8636.05,1
"Emmeline","Piccio",625,"Germany","Male",56,0,148507.24,1,1,0,46824.08,1
"Lyndon","Kennedy",828,"France","Female",41,7,0,2,1,0,171378.77,0
"Malcolm","Fernie",770,"France","Male",24,9,101827.07,1,1,0,167256.35,0
"Jacqueline","He",758,"France","Female",34,3,0,2,1,1,124226.16,0
"Mother","Kaodilinakachukwu",795,"Germany","Female",33,9,130862.43,1,1,1,114935.21,0
"Malala","Cocci",687,"France","Male",38,9,122570.87,1,1,1,35608.88,0
"Joseph","Alekseeva",686,"France","Male",25,1,0,2,0,1,16459.37,0
"Anne","Chinweike",789,"Germany","Male",39,7,124828.46,2,1,1,124411.08,0
"Alfred","Arthur",589,"Germany","Female",50,5,144895.05,2,1,1,34941.23,0
"Tim","Li",461,"Germany","Female",34,5,63663.93,1,0,1,167784.28,0
"C.S.","Ma",637,"France","Male",40,2,133463.1,1,0,1,93165.34,0
"Muhammad","Chia",584,"Spain","Female",48,2,213146.2,1,1,0,75161.25,1
"Neil","Vasin",579,"Spain","Female",35,1,129490.36,2,0,1,8590.83,1
"Billie","Groves",756,"Germany","Male",44,10,137452.09,1,1,0,189543.9,0
"Charles","Tien",663,"France","Male",34,7,0,2,1,1,180427.24,0
"Billie","Forwood",682,"France","Female",43,5,125851.93,1,1,1,193318.33,0
"Sacha","Greeves",793,"Spain","Male",52,2,0,1,1,0,159123.82,1
"Neil","Taylor",691,"France","Female",31,5,40915.55,1,1,0,126213.84,1
"Plato","Madukwe",485,"Spain","Female",21,5,113157.22,1,1,1,54141.5,0
"Anne","Bennelong",635,"Spain","Female",29,8,138296.94,2,1,0,141075.51,0
"David","Olisanugo",650,"France","Male",37,5,106967.18,1,0,0,24495.03,0
"Oprah","Chukwufumnanya",735,"France","Male",44,9,120681.63,1,1,0,74836.34,0
"George","Harris",416,"France","Male",32,0,0,2,0,1,878.87,0
"Michael","Morgan",754,"Spain","Female",32,7,0,2,1,0,89520.75,0
"Haile","Alexeeva",535,"France","Female",48,9,0,1,1,0,149892.79,1
"Peter","Metcalfe",716,"Spain","Male",42,8,0,2,1,0,180800.42,0
"Usain","Humphries",539,"France","Male",37,2,127609.59,1,1,0,98646.22,0
"J.R.R.","Milne",614,"France","Female",43,6,0,2,1,1,109041.53,0
"C.S.","Chou",706,"Spain","Male",57,7,0,1,1,0,17941.16,1
"Aung","Li",758,"France","Female",33,7,0,2,0,0,82996.47,0
"Dalai","Clayton",586,"Spain","Female",28,2,0,2,1,1,92067.35,0
"Rupert","Maclean",646,"France","Female",73,6,97259.25,1,0,1,104719.66,0
